time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-2.1326983915668074,0.0
5e-07,-0.019756470030564934,-0.02154961771299771,-10.606966790097163,-0.019756470030564934
1e-06,-0.15645399867063048,-0.13375646538210198,-20.21491833924857,-0.15645399867063048
1.5e-06,-0.5993566327009341,-0.364773129729044,-29.92346561783421,-0.5993566327009341
2e-06,-1.5423051495978821,-0.662496520455869,-37.3026519845973,-1.5423051495978821
2.4999999999999998e-06,-3.092780392507037,-1.01600589555391,-41.19511482399257,-3.092780392507037
3e-06,-5.29964724401469,-1.3685334488641605,-45.949982303476105,-5.29964724401469
3.5e-06,-8.169717478506781,-1.729960222829168,-48.11479298916501,-8.169717478506781
4e-06,-11.686699264168563,-2.0611804553215793,-49.65366240412359,-11.686699264168563
4.5e-06,-15.777671539244768,-2.3512414473850773,-52.487052633917045,-15.777671539244768
4.9999999999999996e-06,-20.384064504773335,-2.6169319684132883,-54.08073292822462,-20.384064504773335
5.5e-06,-25.452912272703045,-2.854576602398238,-54.851995325789886,-25.452912272703045
6e-06,-30.918892780645052,-3.041491838131319,-56.32880460724537,-30.918892780645052
6.5e-06,-36.6833463424652,-3.1773169058209776,-57.665363280765725,-36.6833463424652
7e-06,-42.653485219560814,-3.261423357874547,-59.21245690972218,-42.653485219560814
7.499999999999999e-06,-48.733048937102495,-3.2932280003268635,-59.83856238885223,-48.733048937102495
8e-06,-54.82070306139747,-3.2691149478905768,-57.79900391829293,-54.82070306139747
8.5e-06,-60.77847362682576,-3.148549122443392,-52.810693705455904,-60.77847362682576
9e-06,-66.42696377447622,-2.9334825713553654,-48.86384735142233,-66.42696377447622
9.499999999999999e-06,-71.59974441467385,-2.636524697452108,-42.47770818866429,-71.59974441467385
9.999999999999999e-06,-76.14785912073067,-2.2652803671366013,-39.80096313138081,-76.14785912073067
1.05e-05,-79.93982412894556,-1.8223499103892062,-38.25469972659879,-79.93982412894556
1.1e-05,-82.84787417102916,-1.3158669031776302,-35.43843741971122,-82.84787417102916
1.15e-05,-84.78440602027727,-0.7735750404496684,-32.292206296702986,-84.78440602027727
1.2e-05,-85.71381477865434,-0.21978188578545632,-30.669093760493187,-85.71381477865434
1.2499999999999999e-05,-85.62774174451539,0.32578448644264646,-30.112132557565815,-85.62774174451539
1.3e-05,-84.54506793363262,0.8479738621651858,-30.908061071907255,-84.54506793363262
1.35e-05,-82.5119140791954,1.3362138876156033,-32.43520836722661,-82.5119140791954
1.4e-05,-79.60164063181028,1.7845100693302454,-31.93312058332942,-79.60164063181028
1.45e-05,-75.90921858419037,2.1892711048760813,-30.548589626604663,-75.90921858419037
1.4999999999999999e-05,-71.50845044434627,2.5461909518744146,-29.96608344838631,-71.50845044434627
1.55e-05,-66.47992889191431,2.872000368637416,-27.636053743189258,-66.47992889191431
1.6e-05,-60.884741878373234,3.1757069275524805,-23.973947704111342,-60.884741878373234
1.6499999999999998e-05,-54.75772693755917,3.4542948222853864,-18.53531246149314,-54.75772693755917
1.7e-05,-48.12587814353325,3.7019254956151824,-12.501641586867937,-48.12587814353325
1.75e-05,-41.0608620028905,3.9190508144403737,-8.936461920822948,-41.0608620028905
1.8e-05,-33.637711893643306,4.093067949001848,-6.985750685145571,-33.637711893643306
1.85e-05,-25.94091333985521,4.214921423052639,-3.683893066924288,-25.94091333985521
1.8999999999999998e-05,-18.071114357890167,4.273017408716708,0.7925733123356454,-18.071114357890167
1.95e-05,-10.140267631828685,4.275218484202485,4.963455480854476,-10.140267631828685
1.9999999999999998e-05,-2.2146913587035613,4.2656604879769215,9.440959850098782,-2.2146913587035613
2.05e-05,5.669131880625475,4.256462622441525,15.617170122773981,5.669131880625475
2.1e-05,13.502759681469609,4.224261695280067,20.559356791030826,13.502759681469609
2.1499999999999997e-05,21.236226490629402,4.116204228904234,25.430631857171004,21.236226490629402
2.2e-05,28.741705452745663,3.9850599016730803,29.229308010668223,28.741705452745663
